Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
4094644,4094644,0,,4038147,4038149,0,,4042652,4042649,0,,12175443,12175442,0,1899364584,2337684864,7908138,0,0,0,
4092850,4092850,0,,4039653,4039654,0,,4044872,4044874,0,,12177375,12177378,0,1899670500,2338056576,7906200,0,0,0,
4089645,4089645,0,,4039583,4039583,0,,4042832,4042833,0,,12172060,12172061,0,1898841360,2337035712,7911527,0,0,0,
4096479,4096479,0,,4037758,4037757,0,,4051380,4051348,0,,12185617,12185584,0,1900956252,2339637888,7898132,0,0,0,
4093371,4093371,0,,4034419,4034417,0,,4046467,4046499,0,,12174257,12174287,0,1899184092,2337457536,7909439,0,0,0,
4104040,4104040,0,,4032348,4032350,0,,4046081,4046081,0,,12182469,12182471,0,1900465164,2339034240,7901002,0,0,0,
4103474,4103474,0,,4032949,4032950,0,,4039681,4039681,0,,12176104,12176105,0,1899472224,2337812160,7907628,0,0,0,
4084757,4084757,0,,4016890,4016889,0,,4025094,4025094,0,,12126741,12126740,0,1891771596,2328334080,7956864,0,0,0,
4090103,4090103,0,,4018612,4018610,0,,4031776,4031776,0,,12140491,12140489,0,1893916596,2330973888,7943096,0,0,0,
4085642,4085642,0,,4019209,4019212,0,,4031864,4031864,0,,12136715,12136718,0,1893332532,2330249856,7946973,0,0,0,
4096168,4096168,0,,4024472,4024472,0,,4033773,4033773,0,,12154413,12154413,0,1896083436,2333647296,7929093,0,0,0,
4100434,4100434,0,,4031013,4031013,0,,4037037,4037034,0,,12168484,12168481,0,1898283504,2336349120,7915164,0,0,0,
4103452,4103452,0,,4031960,4031960,0,,4036003,4036006,0,,12171415,12171418,0,1898740740,2336911488,7912048,0,0,0,
4099046,4099046,0,,4025807,4025807,0,,4026220,4026218,0,,12151073,12151071,0,1895567388,2333005632,7932307,0,0,0,
4084963,4084963,0,,4015250,4015248,0,,4015311,4015310,0,,12115524,12115521,0,1890021744,2326180032,7968299,0,0,0,
4090829,4090829,0,,4024962,4024964,0,,4026123,4026126,0,,12141914,12141919,0,1894143576,2331254592,7941598,0,0,0,
4099439,4099439,0,,4031118,4031118,0,,4027832,4027832,0,,12158389,12158389,0,1896703692,2334404544,7925288,0,0,0,
4105775,4105775,0,,4038162,4038159,0,,4033635,4033603,0,,12177572,12177537,0,1899701232,2338093056,7906015,0,0,0,
4109371,4109371,0,,4037018,4037018,0,,4036491,4036523,0,,12182880,12182912,0,1900529280,2339113152,7900658,0,0,0,
4094925,4094925,0,,4019814,4019817,0,,4019196,4019196,0,,12133935,12133938,0,1892893860,2329716096,7949705,0,0,0,
4101678,4101678,0,,4033136,4033136,0,,4027718,4027715,0,,12162532,12162529,0,1897359516,2335205568,7921089,0,0,0,
4099248,4099248,0,,4028263,4028231,0,,4032368,4032369,0,,12159879,12159848,0,1896936600,2334696960,7923687,0,0,0,
4083917,4083917,0,,4014306,4014337,0,,4013280,4013282,0,,12111503,12111536,0,1889394468,2325408768,7972010,0,0,0,
4085670,4085670,0,,4016200,4016201,0,,4012966,4012966,0,,12114836,12114837,0,1889914416,2326048704,7968750,0,0,0,
4091353,4091353,0,,4023904,4023904,0,,4020890,4020890,0,,12136147,12136147,0,1893238932,2330140224,7947606,0,0,0,
4088801,4088801,0,,4024325,4024325,0,,4018722,4018720,0,,12131848,12131846,0,1892568288,2329314432,7951744,0,0,0,
4105783,4105783,0,,4037651,4037651,0,,4029308,4029310,0,,12172742,12172744,0,1898947752,2337166848,7910953,0,0,0,
4098404,4098404,0,,4033206,4033206,0,,4030719,4030719,0,,12162329,12162329,0,1897323324,2335167168,7921231,0,0,0,
4099402,4099402,0,,4031849,4031848,0,,4030067,4030065,0,,12161318,12161315,0,1897165608,2334972480,7922443,0,0,0,
4095415,4095415,0,,4026880,4026881,0,,4024949,4024919,0,,12147244,12147215,0,1894970064,2332271040,7936438,0,0,0,
4106314,4106314,0,,4036384,4036383,0,,4031937,4031969,0,,12174635,12174666,0,1899243060,2337530112,7908724,0,0,0,
4107479,4107479,0,,4036031,4036032,0,,4032758,4032756,0,,12176268,12176267,0,1899497808,2337843264,7907624,0,0,0,
4085488,4085488,0,,4021890,4021887,0,,4017524,4017526,0,,12124902,12124901,0,1891484712,2327980992,7958708,0,0,0,
4087921,4087921,0,,4019032,4019035,0,,4020115,4020115,0,,12127068,12127071,0,1891822608,2328397632,7956652,0,0,0,
4092269,4092269,0,,4022270,4022270,0,,4021216,4021216,0,,12135755,12135755,0,1893177780,2330064960,7947793,0,0,0,
4096871,4096871,0,,4027405,4027402,0,,4026231,4026228,0,,12150507,12150501,0,1895483616,2332901952,7933104,0,0,0,
4096357,4096357,0,,4032155,4032158,0,,4024603,4024606,0,,12153115,12153121,0,1895881416,2333393472,7930393,0,0,0,
4092557,4092557,0,,4024350,4024350,0,,4019652,4019652,0,,12136559,12136559,0,1893303204,2330219328,7946870,0,0,0,
4083646,4083646,0,,4016213,4016213,0,,4012832,4012832,0,,12112691,12112691,0,1889579796,2325636672,7977924,0,0,0,
4097505,4097505,0,,4031240,4031240,0,,4028594,4028592,0,,12157339,12157337,0,1896544884,2334208704,7919346,0,0,0,
4102189,4102189,0,,4034444,4034441,0,,4033382,4033384,0,,12170015,12170014,0,1898522340,2336642688,7913572,0,0,0,
4083425,4083425,0,,4015577,4015580,0,,4016234,4016202,0,,12115236,12115207,0,1889981808,2326125504,7968269,0,0,0,
4080325,4080325,0,,4013741,4013741,0,,4008382,4008414,0,,12102448,12102480,0,1887981888,2323676352,7981268,0,0,0,
4090224,4090224,0,,4025241,4025241,0,,4035427,4035427,0,,12150892,12150892,0,1895534160,2332965312,7932700,0,0,0,
4090924,4090924,0,,4027083,4027083,0,,4031435,4031435,0,,12149442,12149442,0,1895317944,2332699008,7934170,0,0,0,
4076439,4076439,0,,4011845,4011845,0,,4018817,4018817,0,,12107101,12107101,0,1888702764,2324557248,7976465,0,0,0,
4103449,4103449,0,,4035024,4034992,0,,4037641,4037641,0,,12176114,12176082,0,1899473784,2337813312,7907482,0,0,0,
4104427,4104427,0,,4037984,4038016,0,,4044828,4044828,0,,12187239,12187271,0,1901214276,2339956608,7896307,0,0,0,
4109922,4109922,0,,4039456,4039454,0,,4046052,4046050,0,,12195430,12195426,0,1902482088,2341515648,7888253,0,0,0,
4097763,4097763,0,,4033773,4033775,0,,4032902,4032902,0,,12164438,12164440,0,1897662000,2335581696,7919086,0,0,0,
4097907,4097907,0,,4032557,4032557,0,,4026446,4026448,0,,12156910,12156912,0,1896468288,2334117888,7926801,0,0,0,
4089702,4089702,0,,4021068,4021066,0,,4020948,4020947,0,,12131718,12131715,0,1892552688,2329295424,7951817,0,0,0,
4082084,4082084,0,,4013911,4013913,0,,4009658,4009656,0,,12105653,12105653,0,1888477188,2324279232,7978030,0,0,0,
193548,193548,0,,191441,191409,0,,190753,190724,0,,575742,575681,0,89815752,110530752,373203,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2085345,2085345,0,,2085336,2085351,0,,2085311,2085341,0,,6255992,6256037,0,975939432,1201159680,0,0,0,0,
3332834,3332834,0,,3333095,3333080,0,,3333099,3333075,0,,9999028,9998989,0,1559843688,1919809344,252,0,0,0,
3332805,3332805,0,,3333085,3333115,0,,3333072,3333095,0,,9998962,9999015,0,1559838072,1919806848,296,0,0,0,
3332964,3332964,0,,3333126,3333096,0,,3333115,3333086,0,,9999205,9999146,0,1559875980,1919836800,147,0,0,0,
3332828,3332828,0,,3333086,3333114,0,,3333082,3333109,0,,9998996,9999051,0,1559843376,1919817024,267,0,0,0,
3332808,3332808,0,,3333092,3333088,0,,3333064,3333066,0,,9998964,9998962,0,1559838384,1919800704,288,0,0,0,
3332552,3332552,0,,3333114,3333090,0,,3333107,3333078,0,,9998773,9998720,0,1559808588,1919754240,548,0,0,0,
3332864,3332864,0,,3333096,3333122,0,,3333092,3333110,0,,9999052,9999096,0,1559856168,1919826432,248,0,0,0,
3332864,3332864,0,,3333122,3333124,0,,3333110,3333120,0,,9999096,9999108,0,1559859288,1919829504,260,0,0,0,
3332832,3332832,0,,3333116,3333088,0,,3333094,3333066,0,,9999042,9998986,0,1559846184,1919804736,266,0,0,0,
3332840,3332840,0,,3333095,3333122,0,,3333072,3333100,0,,9999007,9999062,0,1559849460,1919821632,260,0,0,0,
3332860,3332860,0,,3333116,3333118,0,,3333120,3333120,0,,9999096,9999098,0,1559854608,1919824896,266,0,0,0,
3332869,3332869,0,,3333123,3333094,0,,3333104,3333076,0,,9999096,9999039,0,1559858976,1919815488,238,0,0,0,
3332801,3332801,0,,3333079,3333080,0,,3333067,3333076,0,,9998947,9998957,0,1559835732,1919802432,280,0,0,0,
3332941,3332941,0,,3333132,3333131,0,,3333120,3333111,0,,9999193,9999183,0,1559874108,1919840640,191,0,0,0,
3332877,3332877,0,,3333095,3333095,0,,3333073,3333101,0,,9999045,9999073,0,1559851020,1919827200,217,0,0,0,
3332836,3332836,0,,3333107,3333107,0,,3333103,3333075,0,,9999046,9999018,0,1559851176,1919806080,272,0,0,0,
3332967,3332967,0,,3333105,3333132,0,,3333090,3333120,0,,9999162,9999219,0,1559878164,1919850048,157,0,0,0,
3332839,3332839,0,,3333107,3333085,0,,3333097,3333067,0,,9999043,9998991,0,1559841816,1919808960,248,0,0,0,
3332924,3332924,0,,3333105,3333127,0,,3333089,3333120,0,,9999118,9999171,0,1559862408,1919838144,196,0,0,0,
3332973,3332973,0,,3333107,3333080,0,,3333097,3333066,0,,9999177,9999119,0,1559871612,1919832768,119,0,0,0,
3333099,3333099,0,,3333101,3333122,0,,3333110,3333110,0,,9999310,9999331,0,1559892360,1919869632,5,0,0,0,
3332856,3332856,0,,3333115,3333123,0,,3333082,3333100,0,,9999053,9999079,0,1559855076,1919827008,268,0,0,0,
3332870,3332870,0,,3333115,3333089,0,,3333076,3333086,0,,9999061,9999045,0,1559855544,1919812800,236,0,0,0,
3332843,3332843,0,,3333087,3333099,0,,3333095,3333080,0,,9999025,9999022,0,1559843064,1919812224,242,0,0,0,
3332851,3332851,0,,3333127,3333112,0,,3333120,3333107,0,,9999098,9999070,0,1559859288,1919821440,276,0,0,0,
3332842,3332842,0,,3333080,3333100,0,,3333077,3333106,0,,9998999,9999048,0,1559843844,1919817216,253,0,0,0,
3332857,3332857,0,,3333132,3333112,0,,3333110,3333081,0,,9999099,9999050,0,1559859444,1919817600,259,0,0,0,
3332815,3332815,0,,3333080,3333099,0,,3333074,3333074,0,,9998969,9998988,0,1559839164,1919810112,269,0,0,0,
3332852,3332852,0,,3333122,3333103,0,,3333102,3333102,0,,9999076,9999057,0,1559855856,1919814528,259,0,0,0,
3332848,3332848,0,,3333089,3333108,0,,3333082,3333107,0,,9999019,9999063,0,1559849928,1919820096,260,0,0,0,
3332894,3332894,0,,3333115,3333104,0,,3333092,3333079,0,,9999101,9999077,0,1559859912,1919822784,217,0,0,0,
3332834,3332834,0,,3333087,3333101,0,,3333079,3333088,0,,9999000,9999023,0,1559840880,1919812416,260,0,0,0,
3332873,3332873,0,,3333132,3333110,0,,3333120,3333099,0,,9999125,9999082,0,1559863500,1919823744,245,0,0,0,
3332855,3332855,0,,3333109,3333123,0,,3333073,3333105,0,,9999037,9999083,0,1559854764,1919824320,249,0,0,0,
3332841,3332841,0,,3333093,3333079,0,,3333103,3333071,0,,9999037,9998991,0,1559844780,1919811072,257,0,0,0,
3332861,3332861,0,,3333102,3333132,0,,3333109,3333120,0,,9999072,9999113,0,1559859912,1919824512,264,0,0,0,
3332857,3332857,0,,3333110,3333080,0,,3333078,3333067,0,,9999045,9999004,0,1559846340,1919814144,229,0,0,0,
3332841,3332841,0,,3333093,3333124,0,,3333098,3333120,0,,9999032,9999085,0,1559853828,1919820480,283,0,0,0,
3332827,3332827,0,,3333119,3333088,0,,3333088,3333066,0,,9999034,9998981,0,1559844468,1919802816,261,0,0,0,
3332813,3332813,0,,3333088,3333119,0,,3333072,3333104,0,,9998973,9999036,0,1559839788,1919814912,288,0,0,0,
3332852,3332852,0,,3333123,3333092,0,,3333115,3333083,0,,9999090,9999027,0,1559858040,1919815680,259,0,0,0,
3332917,3332917,0,,3333120,3333123,0,,3333090,3333109,0,,9999127,9999149,0,1559867244,1919834112,201,0,0,0,
3332939,3332939,0,,3333090,3333119,0,,3333088,3333095,0,,9999117,9999153,0,1559858820,1919837376,156,0,0,0,
3333078,3333078,0,,3333124,3333092,0,,3333118,3333092,0,,9999320,9999262,0,1559893920,1919858304,43,0,0,0,
3332813,3332813,0,,3333080,3333080,0,,3333067,3333067,0,,9998960,9998960,0,1559837760,1919802240,266,0,0,0,
3333013,3333013,0,,3333100,3333122,0,,3333109,3333109,0,,9999222,9999244,0,1559882064,1919852928,104,0,0,0,
3332864,3332864,0,,3333119,3333126,0,,3333083,3333098,0,,9999066,9999088,0,1559850864,1919824896,244,0,0,0,
3332964,3332964,0,,3333115,3333086,0,,3333104,3333089,0,,9999183,9999139,0,1559872704,1919835456,145,0,0,0,
3332872,3332872,0,,3333132,3333132,0,,3333112,3333120,0,,9999116,9999124,0,1559861940,1919831040,260,0,0,0,
3333080,3333080,0,,3333080,3333080,0,,3333074,3333066,0,,9999234,9999226,0,1559880504,1919851392,0,0,0,0,
3332968,3332968,0,,3333079,3333098,0,,3333076,3333103,0,,9999123,9999169,0,1559863188,1919840448,119,0,0,0,
3333038,3333038,0,,3333132,3333113,0,,3333111,3333084,0,,9999281,9999235,0,1559887836,1919853120,87,0,0,0,
3332946,3332946,0,,3333085,3333116,0,,3333072,3333104,0,,9999103,9999166,0,1559864904,1919839872,158,0,0,0,
3332838,3332838,0,,3333117,3333086,0,,3333104,3333072,0,,9999059,9998996,0,1559848368,1919808960,260,0,0,0,
3332865,3332865,0,,3333109,3333132,0,,3333095,3333120,0,,9999069,9999117,0,1559858664,1919828736,253,0,0,0,
3332861,3332861,0,,3333103,3333097,0,,3333093,3333081,0,,9999057,9999039,0,1559851020,1919815488,239,0,0,0,
3332899,3332899,0,,3333105,3333115,0,,3333097,3333106,0,,9999101,9999120,0,1559861940,1919831040,220,0,0,0,
3332869,3332869,0,,3333107,3333080,0,,3333088,3333066,0,,9999064,9999015,0,1559849772,1919810880,217,0,0,0,
3332870,3332870,0,,3333091,3333122,0,,3333101,3333110,0,,9999062,9999102,0,1559859912,1919827584,252,0,0,0,
3332903,3332903,0,,3333162,3333132,0,,3333120,3333120,0,,9999185,9999155,0,1559866776,1919837760,225,0,0,0,
3332858,3332858,0,,3333081,3333080,0,,3333075,3333066,0,,9999014,9999004,0,1559846028,1919810688,226,0,0,0,
2358821,2358821,0,,2359081,2359081,0,,2359072,2359072,0,,7076974,7076974,0,1104007944,1358777088,260,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4072798,4072798,0,,3997270,3997301,0,,3993730,3993762,0,,12063798,12063861,0,1881952488,2316261312,2818938,0,0,0,
4121622,4121622,0,,4045734,4045735,0,,4040501,4040501,0,,12207857,12207858,0,1904430684,2343914688,2855025,0,0,0,
4113638,4113638,0,,4041416,4041415,0,,4035673,4035673,0,,12190727,12190726,0,1901748420,2340613440,2872260,0,0,0,
4120367,4120367,0,,4043909,4043910,0,,4044908,4044906,0,,12209184,12209183,0,1904632704,2344163136,2853701,0,0,0,
4120055,4120055,0,,4045199,4045199,0,,4049656,4049658,0,,12214910,12214912,0,1905525960,2345263104,2848041,0,0,0,
4115677,4115677,0,,4047231,4047231,0,,4050678,4050678,0,,12213586,12213586,0,1905319416,2345008512,2849352,0,0,0,
4116643,4116643,0,,4040567,4040566,0,,4048870,4048870,0,,12206080,12206079,0,1904153316,2343572736,2856822,0,0,0,
4112645,4112645,0,,4034474,4034475,0,,4043157,4043156,0,,12190276,12190276,0,1901683056,2340527424,2872624,0,0,0,
4113693,4113693,0,,4049510,4049507,0,,4051354,4051355,0,,12214557,12214555,0,1905466056,2345194560,2848293,0,0,0,
4114644,4114644,0,,4047974,4047976,0,,4056022,4056022,0,,12218640,12218642,0,1906107840,2345979264,2844205,0,0,0,
4120705,4120705,0,,4046803,4046804,0,,4052134,4052134,0,,12219642,12219643,0,1906264152,2346171456,2843250,0,0,0,
4119841,4119841,0,,4045926,4045926,0,,4049832,4049830,0,,12215599,12215597,0,1905633444,2345395200,2847288,0,0,0,
4111849,4111849,0,,4038568,4038565,0,,4044442,4044443,0,,12194859,12194857,0,1902398004,2341411968,2868144,0,0,0,
4115831,4115831,0,,4046634,4046637,0,,4048053,4048052,0,,12210518,12210520,0,1904840808,2344419840,2852306,0,0,0,
4094035,4094035,0,,4024465,4024465,0,,4029506,4029508,0,,12148006,12148008,0,1895088936,2332417536,2915082,0,0,0,
4095861,4095861,0,,4029579,4029579,0,,4028282,4028280,0,,12153722,12153720,0,1895980632,2333514240,2909066,0,0,0,
4113911,4113911,0,,4041175,4041173,0,,4042858,4042860,0,,12197944,12197944,0,1902879264,2342005248,2864997,0,0,0,
4106918,4106918,0,,4036918,4036888,0,,4039226,4039224,0,,12183062,12183030,0,1900557672,2339147712,2879828,0,0,0,
4101759,4101759,0,,4028156,4028188,0,,4031702,4031703,0,,12161617,12161650,0,1897212252,2335030848,2901404,0,0,0,
4105874,4105874,0,,4036417,4036417,0,,4038200,4038201,0,,12180491,12180492,0,1900156596,2338654464,2882388,0,0,0,
4105787,4105787,0,,4033465,4033462,0,,4039066,4039064,0,,12178318,12178313,0,1899817608,2338236096,2884826,0,0,0,
4108088,4108088,0,,4035311,4035314,0,,4046495,4046496,0,,12189894,12189898,0,1901623464,2340460416,2872933,0,0,0,
4102218,4102218,0,,4025701,4025701,0,,4043627,4043627,0,,12171546,12171546,0,1898761176,2336936832,2891352,0,0,0,
4119732,4119732,0,,4043009,4043008,0,,4053311,4053312,0,,12216052,12216052,0,1905704112,2345481984,2846977,0,0,0,
4120344,4120344,0,,4043897,4043898,0,,4054075,4054072,0,,12218316,12218314,0,1906057296,2345916288,2844662,0,0,0,
4113390,4113390,0,,4034883,4034880,0,,4049054,4049054,0,,12197327,12197324,0,1902783012,2341886208,2865415,0,0,0,
4108502,4108502,0,,4031049,4031052,0,,4040305,4040306,0,,12179856,12179860,0,1900057536,2338533120,2883047,0,0,0,
4098230,4098230,0,,4028067,4028066,0,,4041917,4041919,0,,12168214,12168215,0,1898246220,2336297472,2894791,0,0,0,
4096743,4096743,0,,4027819,4027820,0,,4032796,4032794,0,,12157358,12157357,0,1896543012,2334213312,2905587,0,0,0,
4115041,4115041,0,,4043308,4043308,0,,4049392,4049391,0,,12207741,12207740,0,1904407596,2343885120,2855256,0,0,0,
4116499,4116499,0,,4044496,4044493,0,,4054142,4054143,0,,12215137,12215135,0,1905561372,2345305920,2847694,0,0,0,
4117331,4117331,0,,4040048,4040049,0,,4051174,4051174,0,,12208553,12208554,0,1904538948,2344042368,2854323,0,0,0,
4109949,4109949,0,,4034130,4034132,0,,4042866,4042867,0,,12186945,12186948,0,1901158740,2339894016,2876080,0,0,0,
4109199,4109199,0,,4031238,4031238,0,,4043500,4043501,0,,12183937,12183938,0,1900699164,2339316096,2878913,0,0,0,
4096725,4096725,0,,4025128,4025125,0,,4039565,4039565,0,,12161418,12161415,0,1897176216,2334991680,2901455,0,0,0,
4099181,4099181,0,,4031204,4031175,0,,4040498,4040498,0,,12170883,12170854,0,1898662740,2336817024,2891906,0,0,0,
4101452,4101452,0,,4032510,4032542,0,,4042007,4042007,0,,12175969,12176001,0,1899446172,2337779136,2887020,0,0,0,
4111791,4111791,0,,4039743,4039743,0,,4045922,4045921,0,,12197456,12197455,0,1902803136,2341911744,2865382,0,0,0,
4117238,4117238,0,,4048205,4048203,0,,4048250,4048251,0,,12213693,12213692,0,1905336108,2345028672,2849208,0,0,0,
4118651,4118651,0,,4048252,4048253,0,,4054416,4054415,0,,12221319,12221319,0,1906530600,2346495168,2841639,0,0,0,
4098585,4098585,0,,4031026,4031027,0,,4031663,4031664,0,,12161274,12161276,0,1897153908,2334966336,2901508,0,0,0,
4110466,4110466,0,,4038128,4038126,0,,4044155,4044123,0,,12192749,12192715,0,1902068844,2341003968,2870227,0,0,0,
4111552,4111552,0,,4041612,4041614,0,,4044864,4044894,0,,12198028,12198060,0,1902892368,2342021376,2864979,0,0,0,
4113981,4113981,0,,4041497,4041496,0,,4046806,4046807,0,,12202284,12202284,0,1903556304,2342838528,2860601,0,0,0,
4114182,4114182,0,,4044651,4044652,0,,4046074,4046074,0,,12204907,12204908,0,1903965492,2343342336,2858092,0,0,0,
4113826,4113826,0,,4044424,4044424,0,,4046486,4046485,0,,12204736,12204735,0,1903938816,2343309120,2858090,0,0,0,
4111850,4111850,0,,4041523,4041522,0,,4043592,4043592,0,,12196965,12196964,0,1902726540,2341817088,2865923,0,0,0,
4113911,4113911,0,,4040844,4040843,0,,4043078,4043079,0,,12197833,12197833,0,1902861948,2341983936,2864949,0,0,0,
4116466,4116466,0,,4041687,4041689,0,,4048290,4048291,0,,12206443,12206446,0,1904205108,2343637824,2856740,0,0,0,
4117258,4117258,0,,4043636,4043636,0,,4050751,4050751,0,,12211645,12211645,0,1905016620,2344635840,2850973,0,0,0,
4118044,4118044,0,,4043339,4043338,0,,4048777,4048777,0,,12210160,12210159,0,1904784960,2344350336,2852681,0,0,0,
4116129,4116129,0,,4043983,4043981,0,,4047268,4047265,0,,12207380,12207375,0,1904355804,2343816000,2855561,0,0,0,
4117022,4117022,0,,4039757,4039760,0,,4041924,4041926,0,,12198703,12198708,0,1902993144,2342151936,2864279,0,0,0,
4120870,4120870,0,,4045289,4045288,0,,4050126,4050127,0,,12216285,12216285,0,1905740460,2345526720,2846625,0,0,0,
4118306,4118306,0,,4043109,4043110,0,,4047507,4047475,0,,12208922,12208891,0,1904591832,2344112640,2853966,0,0,0,
4112195,4112195,0,,4039494,4039462,0,,4046574,4046606,0,,12198263,12198263,0,1902929028,2342067072,2864600,0,0,0,
4122421,4122421,0,,4043046,4043078,0,,4048630,4048630,0,,12214097,12214129,0,1905399132,2345106624,2848826,0,0,0,
4115114,4115114,0,,4037688,4037688,0,,4043113,4043112,0,,12195915,12195914,0,1902567576,2341615872,2866974,0,0,0,
4120545,4120545,0,,4043728,4043728,0,,4041807,4041806,0,,12206080,12206079,0,1904148636,2343566784,2856845,0,0,0,
4112685,4112685,0,,4041751,4041751,0,,4037678,4037677,0,,12192114,12192113,0,1901969784,2340891648,2870748,0,0,0,
4116085,4116085,0,,4046157,4046157,0,,4040567,4040570,0,,12202809,12202812,0,1903633212,2342934528,2860187,0,0,0,
4117493,4117493,0,,4046281,4046278,0,,4041684,4041682,0,,12205458,12205453,0,1904051448,2343446400,2857569,0,0,0,
1515690,1515690,0,,1493031,1493002,0,,1489994,1489964,0,,4498715,4498656,0,701799540,863741952,1065545,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1313555,1313555,0,,1293305,1293335,0,,1289528,1289558,0,,3896388,3896448,0,607841208,748118016,93788,0,0,0,
4117333,4117333,0,,4046618,4046618,0,,4041778,4041780,0,,12205729,12205731,0,1904093724,2343506496,293660,0,0,0,
4117036,4117036,0,,4046165,4046165,0,,4041745,4041743,0,,12204946,12204944,0,1903966896,2343343104,293834,0,0,0,
4121177,4121177,0,,4045263,4045265,0,,4044177,4044179,0,,12210617,12210621,0,1904861244,2344439232,288461,0,0,0,
4118514,4118514,0,,4049531,4049529,0,,4042553,4042553,0,,12210598,12210596,0,1904848296,2344434432,288539,0,0,0,
4123002,4123002,0,,4048700,4048699,0,,4044403,4044400,0,,12216105,12216101,0,1905712380,2345491392,282936,0,0,0,
4124065,4124065,0,,4048087,4048090,0,,4045225,4045227,0,,12217377,12217382,0,1905910812,2345737344,281787,0,0,0,
4118323,4118323,0,,4041547,4041546,0,,4035112,4035113,0,,12194982,12194982,0,1902417192,2341437312,304106,0,0,0,
4107103,4107103,0,,4030275,4030276,0,,4024007,4024007,0,,12161385,12161386,0,1897176060,2334985344,337600,0,0,0,
4103097,4103097,0,,4034561,4034561,0,,4026134,4026102,0,,12163792,12163760,0,1897551552,2335448064,335432,0,0,0,
4111881,4111881,0,,4038037,4038035,0,,4032687,4032716,0,,12182605,12182632,0,1900490904,2339059200,316397,0,0,0,
4119885,4119885,0,,4042114,4042116,0,,4037862,4037865,0,,12199861,12199866,0,1903178784,2342374272,299304,0,0,0,
4120371,4120371,0,,4045306,4045274,0,,4036899,4036899,0,,12202576,12202544,0,1903596864,2342894400,296563,0,0,0,
4122297,4122297,0,,4047869,4047900,0,,4043375,4043375,0,,12213541,12213572,0,1905322224,2344999872,285433,0,0,0,
4117681,4117681,0,,4043370,4043368,0,,4042607,4042605,0,,12203658,12203654,0,1903760820,2343101568,295443,0,0,0,
